DATE;SENSOR;val
10/10/19 9:00;Conso1;2666,213967
10/10/19 9:10;Conso1;2137,396032
10/10/19 9:20;Conso1;2735,650848
10/10/19 9:30;Conso1;1553,431867
10/10/19 9:40;Conso1;3590,205401
10/10/19 9:50;Conso1;2466,49594
10/10/19 10:00;Conso1;2971,633414
10/10/19 10:10;Conso1;3964,156069
10/10/19 10:20;Conso1;1383,909196
10/10/19 10:30;Conso1;3195,50807
10/10/19 10:40;Conso1;1175,62607
10/10/19 10:50;Conso1;2386,020869
10/10/19 11:00;Conso1;2719,344498
10/10/19 11:10;Conso1;2740,257564
10/10/19 11:20;Conso1;1562,102106
10/10/19 11:30;Conso1;1914,720845
10/10/19 11:40;Conso1;1455,32196
10/10/19 11:50;Conso1;3127,209843
10/10/19 12:00;Conso1;1804,493063
10/10/19 12:10;Conso1;1004,90129
10/10/19 12:20;Conso1;2361,638979
10/10/19 12:30;Conso1;2656,268764
10/10/19 12:40;Conso1;1996,6814
10/10/19 12:50;Conso1;2862,780306
10/10/19 13:00;Conso1;1565,716749
10/10/19 13:10;Conso1;3050,976539
10/10/19 13:20;Conso1;2546,773871
10/10/19 13:30;Conso1;2478,743919
10/10/19 13:40;Conso1;2251,994654
